ensembl_id	ensembl_version	gene_symbol	gene_type	symbol_ambiguous	on_panel
ENSG00000005102	14	MEOX1	protein_coding	False	False
ENSG00000005108	16	THSD7A	protein_coding	False	False
ENSG00000005156	12	LIG3	protein_coding	False	False
ENSG00000005175	10	RPAP3	protein_coding	False	False
ENSG00000005187	12	ACSM3	protein_coding	False	False
ENSG00000005189	20	REXO5	protein_coding	False	False
ENSG00000005194	15	CIAPIN1	protein_coding	False	False
ENSG00000005206	17	SPPL2B	protein_coding	False	False
ENSG00000005238	20	FAM214B	protein_coding	False	False
ENSG00000005243	10	COPZ2	protein_coding	False	False
ENSG00000005249	13	PRKAR2B	protein_coding	False	False
ENSG00000005302	19	MSL3	protein_coding	False	False
ENSG00000005339	15	CREBBP	protein_coding	False	False
ENSG00000005379	17	TSPOAP1	protein_coding	False	False
ENSG00000005381	8	MPO	protein_coding	False	False
ENSG00000005421	9	PON1	protein_coding	False	False
ENSG00000005436	14	GCFC2	protein_coding	False	False
ENSG00000005448	17	WDR54	protein_coding	False	False
ENSG00000005469	12	CROT	protein_coding	False	False
ENSG00000005471	19	ABCB4	protein_coding	False	False
ENSG00000005483	21	KMT2E	protein_coding	False	False
ENSG00000005486	17	RHBDD2	protein_coding	False	False
ENSG00000005513	10	SOX8	protein_coding	False	False
ENSG00000005700	15	IBTK	protein_coding	False	False
ENSG00000005801	18	ZNF195	protein_coding	False	False
ENSG00000005810	18	MYCBP2	protein_coding	False	False
ENSG00000005812	11	FBXL3	protein_coding	False	False
ENSG00000005844	19	ITGAL	protein_coding	False	False
ENSG00000005882	12	PDK2	protein_coding	False	False
ENSG00000005884	18	ITGA3	protein_coding	False	False
ENSG00000005889	16	ZFX	protein_coding	False	False
ENSG00000005893	16	LAMP2	protein_coding	False	False
ENSG00000005961	19	ITGA2B	protein_coding	False	False
ENSG00000005981	13	ASB4	protein_coding	False	False
ENSG00000006007	12	GDE1	protein_coding	False	False
ENSG00000006015	18	REX1BD	protein_coding	False	False
ENSG00000006016	11	CRLF1	protein_coding	False	False
ENSG00000006025	12	OSBPL7	protein_coding	False	False
ENSG00000006042	12	TMEM98	protein_coding	False	False
ENSG00000006047	13	YBX2	protein_coding	False	False
ENSG00000006059	4	KRT33A	protein_coding	False	False
ENSG00000006062	17	MAP3K14	protein_coding	False	False
ENSG00000006071	15	ABCC8	protein_coding	False	False
ENSG00000006116	4	CACNG3	protein_coding	False	False
ENSG00000006118	15	TMEM132A	protein_coding	False	False
ENSG00000006125	18	AP2B1	protein_coding	False	False
ENSG00000006128	12	TAC1	protein_coding	False	False
ENSG00000006194	10	ZNF263	protein_coding	False	False
ENSG00000006210	7	CX3CL1	protein_coding	False	False
ENSG00000006282	21	SPATA20	protein_coding	False	False
ENSG00000006283	18	CACNA1G	protein_coding	False	False
ENSG00000006327	14	TNFRSF12A	protein_coding	False	False
ENSG00000006377	11	DLX6	protein_coding	False	False
ENSG00000006432	15	MAP3K9	protein_coding	False	False
ENSG00000006451	8	RALA	protein_coding	False	False
ENSG00000006453	14	BAIAP2L1	protein_coding	False	False
ENSG00000006459	11	KDM7A	protein_coding	False	False
ENSG00000006468	14	ETV1	protein_coding	False	False
ENSG00000006530	18	AGK	protein_coding	False	False
ENSG00000006534	16	ALDH3B1	protein_coding	False	False
ENSG00000006555	11	TTC22	protein_coding	False	False
ENSG00000006576	16	PHTF2	protein_coding	False	False
ENSG00000006606	9	CCL26	protein_coding	False	False
ENSG00000006607	14	FARP2	protein_coding	False	False
ENSG00000006611	17	USH1C	protein_coding	False	False
ENSG00000006625	18	GGCT	protein_coding	False	False
ENSG00000006634	8	DBF4	protein_coding	False	False
ENSG00000006638	13	TBXA2R	protein_coding	False	False
ENSG00000006652	15	IFRD1	protein_coding	False	False
ENSG00000006659	13	LGALS14	protein_coding	False	False
ENSG00000006695	12	COX10	protein_coding	False	False
ENSG00000006704	11	GTF2IRD1	protein_coding	False	False
ENSG00000006712	15	PAF1	protein_coding	False	False
ENSG00000006715	16	VPS41	protein_coding	False	False
ENSG00000006740	17	ARHGAP44	protein_coding	False	False
ENSG00000006744	19	ELAC2	protein_coding	False	False
ENSG00000006747	15	SCIN	protein_coding	False	False
ENSG00000006756	16	ARSD	protein_coding	False	False
ENSG00000006757	12	PNPLA4	protein_coding	False	False
ENSG00000006788	14	MYH13	protein_coding	False	False
ENSG00000006831	10	ADIPOR2	protein_coding	False	False
ENSG00000006837	12	CDKL3	protein_coding	False	False
ENSG00000007001	13	UPP2	protein_coding	False	False
ENSG00000007038	11	PRSS21	protein_coding	False	False
ENSG00000007047	15	MARK4	protein_coding	False	False
ENSG00000007062	12	PROM1	protein_coding	False	False
ENSG00000007080	11	CCDC124	protein_coding	False	False
ENSG00000007129	18	CEACAM21	protein_coding	False	False
ENSG00000007168	14	PAFAH1B1	protein_coding	False	False
ENSG00000007171	18	NOS2	protein_coding	False	False
ENSG00000007174	18	DNAH9	protein_coding	False	False
ENSG00000007202	15	KIAA0100	protein_coding	False	False
ENSG00000007216	15	SLC13A2	protein_coding	False	False
ENSG00000007237	19	GAS7	protein_coding	False	False
ENSG00000007255	10	TRAPPC6A	protein_coding	False	False
ENSG00000007264	15	MATK	protein_coding	False	False
ENSG00000007306	15	CEACAM7	protein_coding	False	True
ENSG00000007312	13	CD79B	protein_coding	False	False
ENSG00000007314	12	SCN4A	protein_coding	False	False
ENSG00000007341	19	ST7L	protein_coding	False	False
ENSG00000007350	17	TKTL1	protein_coding	False	False
ENSG00000007372	24	PAX6	protein_coding	False	False
ENSG00000007376	8	RPUSD1	protein_coding	False	False
ENSG00000007384	15	RHBDF1	protein_coding	False	False
ENSG00000007392	17	LUC7L	protein_coding	False	False
ENSG00000007402	12	CACNA2D2	protein_coding	False	False
ENSG00000007516	14	BAIAP3	protein_coding	False	False
ENSG00000007520	4	TSR3	protein_coding	False	False
ENSG00000007541	17	PIGQ	protein_coding	False	False
ENSG00000007545	16	CRAMP1	protein_coding	False	False
ENSG00000007866	22	TEAD3	protein_coding	False	False
ENSG00000007908	16	SELE	protein_coding	False	False
ENSG00000007923	16	DNAJC11	protein_coding	False	False
ENSG00000007933	13	FMO3	protein_coding	False	False
ENSG00000007944	15	MYLIP	protein_coding	False	False
ENSG00000007952	18	NOX1	protein_coding	False	False
ENSG00000007968	7	E2F2	protein_coding	False	False
ENSG00000008018	9	PSMB1	protein_coding	False	False
ENSG00000008056	14	SYN1	protein_coding	False	False
ENSG00000008083	14	JARID2	protein_coding	False	False
ENSG00000008086	13	CDKL5	protein_coding	False	False
ENSG00000008118	10	CAMK1G	protein_coding	False	False
ENSG00000008128	23	CDK11A	protein_coding	False	False
ENSG00000008130	15	NADK	protein_coding	False	False
ENSG00000008196	13	TFAP2B	protein_coding	False	False
ENSG00000008197	5	TFAP2D	protein_coding	False	False
ENSG00000008226	20	DLEC1	protein_coding	False	False
ENSG00000008256	16	CYTH3	protein_coding	False	False
ENSG00000008277	14	ADAM22	protein_coding	False	False
ENSG00000008282	9	SYPL1	protein_coding	False	False
ENSG00000008283	16	CYB561	protein_coding	False	False
ENSG00000008294	21	SPAG9	protein_coding	False	False
ENSG00000008300	17	CELSR3	protein_coding	False	False
ENSG00000008311	15	AASS	protein_coding	False	False
ENSG00000008323	15	PLEKHG6	protein_coding	False	False
ENSG00000008324	12	SS18L2	protein_coding	False	False
ENSG00000008382	16	MPND	protein_coding	False	False
ENSG00000008394	13	MGST1	protein_coding	False	False
ENSG00000008405	12	CRY1	protein_coding	False	False
ENSG00000008438	5	PGLYRP1	protein_coding	False	False
ENSG00000008441	18	NFIX	protein_coding	False	False
ENSG00000008513	16	ST3GAL1	protein_coding	False	False
ENSG00000008516	17	MMP25	protein_coding	False	False
ENSG00000008517	18	IL32	protein_coding	False	False
ENSG00000008710	20	PKD1	protein_coding	False	False
ENSG00000008735	14	MAPK8IP2	protein_coding	False	False
ENSG00000008838	20	MED24	protein_coding	False	False
ENSG00000008853	17	RHOBTB2	protein_coding	False	False
ENSG00000008869	12	HEATR5B	protein_coding	False	False
ENSG00000008952	17	SEC62	protein_coding	False	False
ENSG00000008988	11	RPS20	protein_coding	False	False
ENSG00000009307	16	CSDE1	protein_coding	False	False
ENSG00000009335	18	UBE3C	protein_coding	False	False
ENSG00000009413	16	REV3L	protein_coding	False	False
ENSG00000009694	13	TENM1	protein_coding	False	False
ENSG00000009709	12	PAX7	protein_coding	False	False
ENSG00000009724	17	MASP2	protein_coding	False	False
ENSG00000009765	15	IYD	protein_coding	False	False
ENSG00000009780	16	FAM76A	protein_coding	False	False
ENSG00000009790	15	TRAF3IP3	protein_coding	False	False
ENSG00000009830	12	POMT2	protein_coding	False	False
ENSG00000009844	16	VTA1	protein_coding	False	False
ENSG00000009950	16	MLXIPL	protein_coding	False	False
ENSG00000009954	11	BAZ1B	protein_coding	False	False
ENSG00000010017	13	RANBP9	protein_coding	False	False
ENSG00000010030	14	ETV7	protein_coding	False	False
ENSG00000010072	16	SPRTN	protein_coding	False	False
ENSG00000010165	20	EEF1AKNMT	protein_coding	False	False
ENSG00000010219	13	DYRK4	protein_coding	False	False
ENSG00000010244	19	ZNF207	protein_coding	False	False
ENSG00000010256	11	UQCRC1	protein_coding	False	False
ENSG00000010270	14	STARD3NL	protein_coding	False	False
ENSG00000010278	15	CD9	protein_coding	False	False
ENSG00000010282	15	HHATL	protein_coding	False	False
ENSG00000010292	13	NCAPD2	protein_coding	False	False
ENSG00000010295	20	IFFO1	protein_coding	False	False
ENSG00000010310	9	GIPR	protein_coding	False	False
ENSG00000010318	21	PHF7	protein_coding	False	False
ENSG00000010319	7	SEMA3G	protein_coding	False	False
ENSG00000010322	16	NISCH	protein_coding	False	False
ENSG00000010327	10	STAB1	protein_coding	False	False
ENSG00000010361	14	FUZ	protein_coding	False	False
ENSG00000010379	16	SLC6A13	protein_coding	False	False
ENSG00000010404	18	IDS	protein_coding	False	False
ENSG00000010438	17	PRSS3	protein_coding	False	False
ENSG00000010539	12	ZNF200	protein_coding	False	False
ENSG00000010610	10	CD4	protein_coding	False	False
ENSG00000010626	15	LRRC23	protein_coding	False	False
ENSG00000010671	16	BTK	protein_coding	False	False
ENSG00000010704	18	HFE	protein_coding	False	False
ENSG00000010803	16	SCMH1	protein_coding	False	False
ENSG00000010810	17	FYN	protein_coding	False	False
ENSG00000010818	10	HIVEP2	protein_coding	False	False
ENSG00000010932	17	FMO1	protein_coding	False	False
ENSG00000011007	12	ELOA	protein_coding	False	False
ENSG00000011009	11	LYPLA2	protein_coding	False	False
ENSG00000011021	23	CLCN6	protein_coding	False	False
ENSG00000011028	14	MRC2	protein_coding	False	False
ENSG00000011052	21	NME1-NME2	protein_coding	False	False
ENSG00000011083	9	SLC6A7	protein_coding	False	False
ENSG00000011105	14	TSPAN9	protein_coding	False	False
ENSG00000011114	15	BTBD7	protein_coding	False	False
ENSG00000011132	12	APBA3	protein_coding	False	False
ENSG00000011143	19	MKS1	protein_coding	False	False
ENSG00000011198	10	ABHD5	protein_coding	False	False
ENSG00000011201	12	ANOS1	protein_coding	False	False
ENSG00000011243	18	AKAP8L	protein_coding	False	False
ENSG00000011258	16	MBTD1	protein_coding	False	False
ENSG00000011260	14	UTP18	protein_coding	False	False
ENSG00000011275	19	RNF216	protein_coding	False	False
ENSG00000011295	16	TTC19	protein_coding	False	False
ENSG00000011304	22	PTBP1	protein_coding	False	False
ENSG00000011332	19	DPF1	protein_coding	False	False
ENSG00000011347	10	SYT7	protein_coding	False	False
ENSG00000011376	12	LARS2	protein_coding	False	False
ENSG00000011405	13	PIK3C2A	protein_coding	False	False
ENSG00000011422	12	PLAUR	protein_coding	False	False
ENSG00000011426	11	ANLN	protein_coding	False	False
ENSG00000011451	21	WIZ	protein_coding	False	False
ENSG00000011454	18	RABGAP1	protein_coding	False	False
ENSG00000011465	18	DCN	protein_coding	False	False
ENSG00000011478	13	QPCTL	protein_coding	False	False
ENSG00000011485	15	PPP5C	protein_coding	False	False
ENSG00000011523	14	CEP68	protein_coding	False	False
ENSG00000011566	15	MAP4K3	protein_coding	False	False
ENSG00000011590	14	ZBTB32	protein_coding	False	False
ENSG00000011600	12	TYROBP	protein_coding	False	False
ENSG00000011638	11	TMEM159	protein_coding	False	False
ENSG00000011677	13	GABRA3	protein_coding	False	False
ENSG00000012048	23	BRCA1	protein_coding	False	False
ENSG00000012061	16	ERCC1	protein_coding	False	False
ENSG00000012124	17	CD22	protein_coding	False	False
ENSG00000012171	20	SEMA3B	protein_coding	False	False
ENSG00000012174	12	MBTPS2	protein_coding	False	False
ENSG00000012211	13	PRICKLE3	protein_coding	False	False
ENSG00000012223	13	LTF	protein_coding	False	False
ENSG00000012232	9	EXTL3	protein_coding	False	False
ENSG00000012504	15	NR1H4	protein_coding	False	False
ENSG00000012660	14	ELOVL5	protein_coding	False	False
ENSG00000012779	11	ALOX5	protein_coding	False	False
ENSG00000012817	16	KDM5D	protein_coding	False	False
ENSG00000012822	16	CALCOCO1	protein_coding	False	False
ENSG00000012963	15	UBR7	protein_coding	False	False
ENSG00000012983	11	MAP4K5	protein_coding	False	False
ENSG00000013016	16	EHD3	protein_coding	False	False
ENSG00000013275	8	PSMC4	protein_coding	False	False
ENSG00000013288	9	MAN2B2	protein_coding	False	False
ENSG00000013293	6	SLC7A14	protein_coding	False	False
ENSG00000013297	12	CLDN11	protein_coding	False	False
ENSG00000013306	16	SLC25A39	protein_coding	False	False
ENSG00000013364	19	MVP	protein_coding	False	False
ENSG00000013374	16	NUB1	protein_coding	False	False
ENSG00000013375	16	PGM3	protein_coding	False	False
ENSG00000013392	8	RWDD2A	protein_coding	False	False
ENSG00000013441	16	CLK1	protein_coding	False	False
ENSG00000013503	10	POLR3B	protein_coding	False	False
ENSG00000013523	11	ANGEL1	protein_coding	False	False
ENSG00000013561	18	RNF14	protein_coding	False	False
ENSG00000013563	14	DNASE1L1	protein_coding	False	False
ENSG00000013573	17	DDX11	protein_coding	False	False
ENSG00000013583	10	HEBP1	protein_coding	False	False
ENSG00000013588	9	GPRC5A	protein_coding	False	False
ENSG00000013619	14	MAMLD1	protein_coding	False	False
ENSG00000013725	14	CD6	protein_coding	False	False
ENSG00000013810	20	TACC3	protein_coding	False	False
ENSG00000014123	10	UFL1	protein_coding	False	False
ENSG00000014138	9	POLA2	protein_coding	False	False
ENSG00000014164	7	ZC3H3	protein_coding	False	False
ENSG00000014216	16	CAPN1	protein_coding	False	False
ENSG00000014257	16	ACP3	protein_coding	False	False
ENSG00000014641	21	MDH1	protein_coding	False	False
ENSG00000014824	14	SLC30A9	protein_coding	False	False
ENSG00000014914	21	MTMR11	protein_coding	False	False
ENSG00000014919	13	COX15	protein_coding	False	False
ENSG00000015133	19	CCDC88C	protein_coding	False	False
ENSG00000015153	15	YAF2	protein_coding	False	False
ENSG00000015171	20	ZMYND11	protein_coding	False	False
ENSG00000015285	11	WAS	protein_coding	False	False
ENSG00000015413	9	DPEP1	protein_coding	False	False
ENSG00000015475	19	BID	protein_coding	False	False
ENSG00000015479	20	MATR3	protein_coding	True	False
ENSG00000015520	15	NPC1L1	protein_coding	False	False
ENSG00000015532	10	XYLT2	protein_coding	False	False
ENSG00000015568	13	RGPD5	protein_coding	False	False
ENSG00000015592	16	STMN4	protein_coding	False	False
ENSG00000015676	18	NUDCD3	protein_coding	False	False
ENSG00000016082	15	ISL1	protein_coding	False	False
ENSG00000016391	11	CHDH	protein_coding	False	False
ENSG00000016402	13	IL20RA	protein_coding	False	False
ENSG00000016490	16	CLCA1	protein_coding	False	False
ENSG00000016602	9	CLCA4	protein_coding	False	False
ENSG00000016864	18	GLT8D1	protein_coding	False	False
ENSG00000017260	20	ATP2C1	protein_coding	False	False
ENSG00000017427	17	IGF1	protein_coding	False	False
ENSG00000017483	15	SLC38A5	protein_coding	False	False
ENSG00000017797	13	RALBP1	protein_coding	False	False
ENSG00000018189	13	RUFY3	protein_coding	False	False
ENSG00000018236	15	CNTN1	protein_coding	False	False
ENSG00000018280	17	SLC11A1	protein_coding	False	False
ENSG00000018408	15	WWTR1	protein_coding	False	False
ENSG00000018510	17	AGPS	protein_coding	False	False
ENSG00000018610	15	CXorf56	protein_coding	False	False
ENSG00000018625	15	ATP1A2	protein_coding	False	False
ENSG00000018699	13	TTC27	protein_coding	False	False
ENSG00000018869	17	ZNF582	protein_coding	False	False
ENSG00000019102	12	VSIG2	protein_coding	False	False
ENSG00000019144	19	PHLDB1	protein_coding	False	False
ENSG00000019169	10	MARCO	protein_coding	False	False
ENSG00000019186	10	CYP24A1	protein_coding	False	False
ENSG00000019485	13	PRDM11	protein_coding	False	False
ENSG00000019505	8	SYT13	protein_coding	False	False
ENSG00000019549	13	SNAI2	protein_coding	False	False
ENSG00000019582	15	CD74	protein_coding	False	False
ENSG00000019991	18	HGF	protein_coding	False	False
ENSG00000019995	6	ZRANB1	protein_coding	False	False
ENSG00000020129	16	NCDN	protein_coding	False	False
ENSG00000020181	18	ADGRA2	protein_coding	False	False
ENSG00000020256	20	ZFP64	protein_coding	False	False
ENSG00000020426	11	MNAT1	protein_coding	False	False
ENSG00000020577	14	SAMD4A	protein_coding	False	False
ENSG00000020633	19	RUNX3	protein_coding	False	False
ENSG00000020922	13	MRE11	protein_coding	False	False
ENSG00000021300	14	PLEKHB1	protein_coding	False	False
ENSG00000021355	13	SERPINB1	protein_coding	False	False
ENSG00000021461	17	CYP3A43	protein_coding	False	False
ENSG00000021488	13	SLC7A9	protein_coding	False	False
ENSG00000021574	13	SPAST	protein_coding	False	False
ENSG00000021645	20	NRXN3	protein_coding	False	False
ENSG00000021762	20	OSBPL5	protein_coding	False	False
ENSG00000021776	11	AQR	protein_coding	False	False
ENSG00000021826	17	CPS1	protein_coding	False	False
ENSG00000021852	13	C8B	protein_coding	False	False
ENSG00000022267	19	FHL1	protein_coding	False	False
ENSG00000022277	13	RTF2	protein_coding	False	False
ENSG00000022355	18	GABRA1	protein_coding	False	False
ENSG00000022556	16	NLRP2	protein_coding	False	False
ENSG00000022567	10	SLC45A4	protein_coding	False	False
ENSG00000022840	16	RNF10	protein_coding	False	False
ENSG00000022976	15	ZNF839	protein_coding	False	False
ENSG00000023041	11	ZDHHC6	protein_coding	False	False
ENSG00000023171	18	GRAMD1B	protein_coding	False	False
ENSG00000023191	17	RNH1	protein_coding	False	False
ENSG00000023228	14	NDUFS1	protein_coding	False	False
ENSG00000023287	13	RB1CC1	protein_coding	False	False
ENSG00000023318	8	ERP44	protein_coding	False	False
ENSG00000023330	15	ALAS1	protein_coding	False	False
ENSG00000023445	16	BIRC3	protein_coding	False	False
ENSG00000023516	9	AKAP11	protein_coding	False	False
ENSG00000023572	10	GLRX2	protein_coding	False	False
ENSG00000023608	5	SNAPC1	protein_coding	False	False
ENSG00000023697	13	DERA	protein_coding	False	False
ENSG00000023734	11	STRAP	protein_coding	False	False
ENSG00000023839	12	ABCC2	protein_coding	False	False
ENSG00000023892	11	DEF6	protein_coding	False	False
ENSG00000023902	14	PLEKHO1	protein_coding	False	False
ENSG00000023909	10	GCLM	protein_coding	False	False
ENSG00000024048	11	UBR2	protein_coding	False	False
ENSG00000024422	12	EHD2	protein_coding	False	False
ENSG00000024526	17	DEPDC1	protein_coding	False	False
ENSG00000024862	18	CCDC28A	protein_coding	False	False
ENSG00000025039	15	RRAGD	protein_coding	False	False
ENSG00000025156	13	HSF2	protein_coding	False	False
ENSG00000025293	17	PHF20	protein_coding	False	False
ENSG00000025423	11	HSD17B6	protein_coding	False	False
ENSG00000025434	19	NR1H3	protein_coding	False	False
ENSG00000025708	14	TYMP	protein_coding	False	False
ENSG00000025770	19	NCAPH2	protein_coding	False	False
ENSG00000025772	8	TOMM34	protein_coding	False	False
ENSG00000025796	14	SEC63	protein_coding	False	False
ENSG00000025800	14	KPNA6	protein_coding	False	False
ENSG00000026025	16	VIM	protein_coding	False	False
ENSG00000026036	22	RTEL1-TNFRSF6B	protein_coding	False	False
ENSG00000026103	22	FAS	protein_coding	False	False
ENSG00000026297	16	RNASET2	protein_coding	False	False
ENSG00000026508	20	CD44	protein_coding	False	False
ENSG00000026559	14	KCNG1	protein_coding	False	False
ENSG00000026652	15	AGPAT4	protein_coding	False	False
ENSG00000026751	17	SLAMF7	protein_coding	False	False
ENSG00000026950	17	BTN3A1	protein_coding	False	False
ENSG00000027001	10	MIPEP	protein_coding	False	False
ENSG00000027075	15	PRKCH	protein_coding	False	False
ENSG00000027644	5	INSRR	protein_coding	False	False
ENSG00000027697	15	IFNGR1	protein_coding	False	False
ENSG00000027847	14	B4GALT7	protein_coding	False	False
ENSG00000027869	12	SH2D2A	protein_coding	False	False
ENSG00000028116	18	VRK2	protein_coding	False	False
ENSG00000028137	19	TNFRSF1B	protein_coding	False	False
ENSG00000028203	18	VEZT	protein_coding	False	False
ENSG00000028277	21	POU2F2	protein_coding	False	False
ENSG00000028310	18	BRD9	protein_coding	False	False
ENSG00000028528	15	SNX1	protein_coding	False	False
ENSG00000028839	10	TBPL1	protein_coding	False	False
ENSG00000029153	14	ARNTL2	protein_coding	False	False
ENSG00000029363	17	BCLAF1	protein_coding	False	False
ENSG00000029364	12	SLC39A9	protein_coding	False	False
ENSG00000029534	21	ANK1	protein_coding	False	False
ENSG00000029559	7	IBSP	protein_coding	False	False
ENSG00000029639	11	TFB1M	protein_coding	False	False
ENSG00000029725	17	RABEP1	protein_coding	False	False
ENSG00000029993	15	HMGB3	protein_coding	False	False
ENSG00000030066	13	NUP160	protein_coding	False	False
ENSG00000030110	13	BAK1	protein_coding	False	False
ENSG00000030304	14	MUSK	protein_coding	False	False
ENSG00000030419	16	IKZF2	protein_coding	False	False
ENSG00000030582	18	GRN	protein_coding	False	False
ENSG00000031003	10	FAM13B	protein_coding	False	False
ENSG00000031081	11	ARHGAP31	protein_coding	False	False
ENSG00000031691	7	CENPQ	protein_coding	False	False
ENSG00000031698	13	SARS1	protein_coding	False	False
ENSG00000031823	14	RANBP3	protein_coding	False	False
ENSG00000032219	19	ARID4A	protein_coding	False	False
ENSG00000032389	13	EIPR1	protein_coding	False	False
ENSG00000032444	17	PNPLA6	protein_coding	False	False
ENSG00000032742	18	IFT88	protein_coding	False	False
ENSG00000033011	13	ALG1	protein_coding	False	False
ENSG00000033030	15	ZCCHC8	protein_coding	False	False
ENSG00000033050	9	ABCF2	protein_coding	False	False
ENSG00000033100	16	CHPF2	protein_coding	False	False
ENSG00000033122	21	LRRC7	protein_coding	False	False
ENSG00000033170	17	FUT8	protein_coding	False	False
ENSG00000033178	13	UBA6	protein_coding	False	False
ENSG00000033327	13	GAB2	protein_coding	False	False
ENSG00000033627	17	ATP6V0A1	protein_coding	False	False
ENSG00000033800	14	PIAS1	protein_coding	False	False
ENSG00000033867	16	SLC4A7	protein_coding	False	False
ENSG00000034053	14	APBA2	protein_coding	False	False
ENSG00000034152	19	MAP2K3	protein_coding	False	False
ENSG00000034239	11	EFCAB1	protein_coding	False	False
ENSG00000034510	6	TMSB10	protein_coding	False	False
ENSG00000034533	12	ASTE1	protein_coding	False	False
ENSG00000034677	13	RNF19A	protein_coding	False	False
ENSG00000034693	15	PEX3	protein_coding	False	False
ENSG00000034713	8	GABARAPL2	protein_coding	False	False
ENSG00000034971	17	MYOC	protein_coding	False	False
ENSG00000035115	22	SH3YL1	protein_coding	False	False
ENSG00000035141	8	FAM136A	protein_coding	False	False
ENSG00000035403	18	VCL	protein_coding	False	False
ENSG00000035499	13	DEPDC1B	protein_coding	False	False
